category,phash_distance,image_a,image_b,resolution_a,resolution_b
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000146.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000290.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000254.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000255.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000254.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000506.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000254.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000509.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000255.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000506.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000255.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000507.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000277.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000278.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000277.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000554.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000277.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000555.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000278.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000553.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000278.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000554.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000290.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000576.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000296.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000592.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000297.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000298.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000297.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000590.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000297.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000594.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000297.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000595.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000297.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000596.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000298.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000590.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000298.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000593.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000298.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000594.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000298.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000596.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000317.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000632.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000320.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000638.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000325.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000650.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000327.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000329.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000327.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000652.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000327.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000656.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000327.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000657.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000329.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000652.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000329.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000653.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000329.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000656.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000341.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000682.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000349.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000698.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000364.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000728.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000619.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001238.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000619.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001240.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000627.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001254.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000697.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001394.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000841.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001682.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000842.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001684.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000972.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000973.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000972.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001944.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000972.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001945.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000972.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001948.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000973.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001943.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000973.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001944.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000973.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001948.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000983.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001964.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_000992.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_001984.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001036.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002072.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001098.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001099.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001098.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002196.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001098.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002197.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001098.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002198.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001099.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002195.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001099.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002196.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001099.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002198.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001102.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002202.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001103.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002204.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001115.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002230.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001137.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002274.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001143.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002284.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001143.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002286.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001166.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002332.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001168.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002328.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001172.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002344.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001174.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002346.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\0d8b27ec_frame_001301.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_002600.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000051.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000052.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000054.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000055.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000063.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000065.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000063.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000070.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000065.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000070.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000066.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000067.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000066.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000068.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000067.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000068.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000074.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000075.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000074.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000076.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000075.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000076.jpg,640x640,640x640
full_negative,0,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000082.jpg,C:\Users\Justx\OneDrive\Documents\Helios Stuff\Dataset\Full_Negative\92d4263c_frame_000089.jpg,640x640,640x640
